to adabdon to	từ bỏ;bỏ;ruồng bỏ;bỏ lại
the grapes are sour	nho xanh chẳng đáng miệng người phong lưu;cái gì mình không thể có được nhưng lại cho là nó chẳng có giá trị hoặc quan trọng
grape-vine	hệ thống tin mật;đường dây thông tin riêng;nguồn tin riêng;nguồn tin không chính thức;tin vịt;tin bị đặt 
grapple with	vật lộn với
grasp all, lost all	tham thì thâm;ôm đồm lắm thì hỏng việc 
grasp at	giật lấy;cố nắm lấy;chộp lấy
grasp the nettle	dũng cảm đương đầu với khó khăn 
at grass	đang gặm cỏ;đang nghỉ ngỏ;không có việc
cut the grass under one's feet	phổng tay trên;nẫng tay trên 
not to let the grass grow under one's feet	không để mất thì giờ;không trì hoãn
go to grass	ra đồng ăn cỏ;ngã sóng soài;chết
go to grass!	chết quách đi cho xong;chết đi cho rồi 
hear the grass grow	rất thính tai;thính tai 
put out to grass	thả ra đồng ăn cỏ;chăn thả;bát phải rút lui
a snake in the grass	kẻ thù giấu mặt;người mưu mô;người nham hiểm
grass widow	người đàn bà góa chồng
widow	góa phụ;góa chồng 
grass widover	góa vợ 
widower	người góa vợ;đàn ông góa vợ 
grateful to for	biết ơn về 
brought to an early grave	chết non;chết yểu;chết sớm 
dig one's own grave	chịu tai ương nghiệp chướng;gánh chịu hậu họa;làm nên tai ương;geo họa 
from the cradle to the grave	từ khi sinh ra đến khi chết đi
have one's foot in the grave	gần đất xa trời;sắp chết 
grave of honour	nơi chôn vùi danh dự;bia mộ;bia ghi danh 
make turn in his grave	chử bới đến mồ mả;chửi đào mổ đào mả lên;xúc phạm đến mồ mả 
secret as the grave	kín như bưng 
grease the palm of	đút lót;hối lộ;đấm mồm;mua chuộc 
grease the hand of	đút lót;hối lộ;đấm mồm;mua chuộc 
grease the first of	đút lót;hối lộ;đấm mồm;mua chuộc 
great at	rất giỏi về
great for	rất có ích;rất thích hợp với;rất phù hợp với;lý tưởng cho;
great on	hiểu rõ;biết rõ;biết rõ chân tướng;biết tường tận 
great with child	có mang;có bầu;có chửa;có thai 
great with	thân mật với;chơi thân với 
great boast, small roast	trăm voi không được bát nước xáo 
a great dozen	một tá, 13 cái, 13 chiết 
a great deal of	một tá;hàng ngàn;rất nhiều;hàng trăm ngàn;hàng đống;
a great fortune is a great slavery	ăn cơm với cáy thì ngáy kho kho,ăn cơm thịt bò thì lo ngay ngáy
great-hearted person	người quảng đại;người hào hiệp;người hào hiệp 
great minds think alike	những tư tưởng lớn gặp nhau;tư tưởng lớn gặp nhau
greedy of	tham lam;hám
greedy of honours	hám danh
greedy of gain	hám lợi
greedy to	mong muốn được;háo hức;hăm hỏ
Greek to	là một khó khăn đối với;một điều khó hiểu đối với 
double Dutch to	là một khó khăn đối với;một điều khó hiểu đối với 
green at one's job	mới làm việc;còn bỡ ngỡ với công việc
in the green	đang ở tuổi thanh xuân;tràn trề sức sống;đang tuổi trẻ 
green eye	sự ghen tị;ghen ăn tức ở;ghen ghét;ghen tuông
green hand	mới vào nghề
greenhorn	người mới vào nghề;người chưa có kinh nghiệm;lính mới;còn bỡ ngỡ
green light	đèn xanh;sự cho phép;bật đèn xanh cho 
give the green light to	bật đèn xanh cho
look green with jealousy	tái đi vì ghen tức 
green old age	tuổi già nhưng vẫn trẻ trung
green room	phòng nghỉ của diễn viên 
green wood	rừng xanh
go to the green wood	trốn lên rừng sống;trốn lệnh truy nã
grieve at	đau buồn;đau lòng;buồn phiền
grieve for	đau buồn cho;tiếc thương cho;thương tiếc cho 
grind away at	làm việc cần cù;làm việc chăm chỉ;tích cực học tập;học tập miệt mài 
grind down	xay nhỏ;nghiền nhỏ;tán nhỏ;hành hạ;áp bức;bóc lột
grind for the exam	học nhồi nhét;học gạo;ôn thi 
grind into	giẫm nát;ép nát;xay nhỏ;xay;nghiền nhỏ
grind one's own axe	theo đuổi một mục đích cá nhân 
have an ax to grind	có một mục đích phải đạt 
grind out	đè bẹp;dẫm nát;nghiền nát;nghiến răng nguyền rủa;cố nặn ra
grind to a halt	dừng lại từ từ;từ từ dừng lại;dần dần ngưng lại;đình trệ;trì trệ 
grind to a standstill	dừng lại từ từ;từ từ dừng lại;dần dần ngưng lại;đình trệ;trì trệ 
ground arms	hạ khí giới;hạ súng xuống 
ground in	bi mắc cạn;bị mắc vào;bị vướng vào 
ground in	truyền thụ;truyền dạy 
ground on	đặt niềm tin vào 
cut the ground from under one's feet	biết trước ý đồ;nắm trước ý đồ 
down to the ground	hoàn toàn;rất chi làm
gain ground	tiến tới;tiến bộ;
gain ground on	lấn chiếm;đuổi sát
gain ground upon	lấn chiếm;đuổi sát
give ground	rút lui;suy sụp
fall to the ground	thất bại;phá sản 
run into the ground	bóc lột tận cùng sức lực;vắt kiệt sức;dùng cạn kiệt;kiệt sức 
run to the ground	đuổi tận hang;truy tận gốc
shift one's ground	thay đổi ý kiến;thay đổi lập trường 
grow away from	chấm dứt quan hệ;ngừng quan hệ;ngừng hợp tác với;cắt đứt quan hệ với 
grow down	mọc ngược;mọc đầu xuống đất;giảm đi;bớt đi;kém đi;nhỏ đi
grow downwards	mọc ngược;mọc đầu xuống đất;giảm đi;bớt đi;kém đi;nhỏ đi
grow in	mọc vào trong;dianh vào;khắc sâu vào;được tặng thêm
grow into	trở thành;biến thành;đổi thành;ăn sâu vào 
grow near	xích lại gần;sắp đến;sắp tới 
it grows near harvest	sắp tới mùa gặt 
grow on	nhiễm sâu vào;thấm sâu vào;càng ngày càng
grow upon	nhiễm sâu vào;thấm sâu vào;càng ngày càng
grow out of	nảy sinh ra từ;nảy mần;mọc mầm;quá;vượt quá;lớn quá;lớn lên thì hết;lớn lên thì từ bỏ được
grow to	đạt tới;lên tới
grow to mandhood	đến tuổi trưởng thành 
grow together	liền lại
grow up	lớn lên;tăng lên;trưởng thành
a grown-up	người lớn;người trưởng thành 
grub about	lục tìm;bới tìm
grub around	lục tìm;bới tìm
grub for	lục tìm;bới tìm
grub up	đào xới;đào bới;xới;bới
grumble at	bực dọc về;cằn nhằn về;ca cẩm về;ca thán về 
grumble to	bực dọc về;cằn nhằn về;ca cẩm về;ca thán về 
grumble at one's lot	than thân trách phận 
grumble at one's mistakes	càu nhàu về lỗi lầm của mình
grumble away	gây ra tiếng rền vang;tiếng ầm ầm kéo dài
guard against	đề phòng;phòng;giữ gìn
guard from	đề phòng;phòng;giữ gìn
guard one's word	giữ gìn lời nói 
guard oneself	giữ mình;đề phòng 
on one's guard	cảnh giác;đề phòng 
guess at	đoán;phỏng đoán;ước chừng
guide in	hướng dẫn tới 
guide out of	chỉ lỗi ra
guide to	hưỡng dẫn;chỉ đường
guilty about	có lỗi về
guilty of có tội;mắc tội;phạm tội 
in the guise of	ăn mặc kiểu;trọng bộ đồ;ăn mặc như 
under the guise of	dưới chiêu bài
a gulf between in	hố sâu ngăn cách 
gulp back	nuốt 
gulp back tears	nuốt nước mắt 
gulp down	nốc cạn;uống cạn;húp một ngụm;nốc một hơi 
gulp in	hít sâu 
at a gulp	bằng một hơ;nốc một hơi
gump down	dán chặt vào
gum up	đổ chất dính vào 
gum up the works	khó tiến bộ vì
gun down	bắn gục
going great guns	rất thành công;khỏe mạnh lại;bình phục nhanh chóng
go great guns	chạy nhanh;thành công vang dội;thành công rực rỡ
great guns	chao ôi;trời ơi
jump the gun	xuất phát trước khi có súng lệnh;làm quá sớm;
spike one's guns	vô hiệu hóa;phá hỏng kế hoạch 
stick to one's guns	khư khư giữ quan điểm;bảo thủ quan điểm 
hum and ha	nói ầm à ầm ừ;nói lung búng;do dự lâu mới làm
in a habit of	quen thói;hay;có thói quen
fall into a habit of	quen thói;hay;có thói quen
get into a habit of	quen thói;hay;có thói quen
break oneself of a habit	nghiện
a creature of habit	người bị ảnh hưởng bởi thói quen cuộc sống 
habit cures habit	lấy độc trị độc 
fall out of the habit of	bỏ;cai;từ bỏ
get out of the habit of	bỏ;cai;từ bỏ
break off the habit of	bỏ;cai;từ bỏ
kick the habit	bỏ;từ bỏ;cai 
make a habit of	có thói quen
habituate oneself to	tập quen với;tập thích nghi với 
hack at	chém;chặt mạnh
hack down	đốn;chặt mạnh;đốn gốc
hack off	chặt đứt;chặt rời;tách rời 
hack one's way across	phát quan để làm lối đi;mở lối đi 
hack one's way out of	phát quan để làm lối đi;mở lối đi 
hack one's way through	phát quan để làm lối đi;mở lối đi 
had best	tốt nhất là;khôn hơn hết là 
had better	tốt hơn nên 
haggle with over	mặc cả với;bàn cãi với 
haggle with about	mặc cả với;bàn cãi với 
hail down on	giáng xuống;trút xuống 
haild down blows on	giáng cú đấm vào 
hail curses on	chửi xa xả;chửi như tát nước vào mặt 
a hail of question	các câu hỏi dồn dập;một loạt các câu hỏi 
hail as	hoan nghênh;thừa nhận
hail from	tới từ;đến từ;xuất xứ từ 
hail the rising sun	khúm núm;khép nép 
adore the rising sun	khúm núm;khép nép 
hail-fellow-well-met	thân thiết với;thân mật với
hail-fellow-well-met	bạn thân 
by a hair	suýt nữa;chút xíu nữa;tý tẹo nữa;chút nữa là;may mà
within a hair	suýt nữa;chút xíu nữa;tý tẹo nữa;chút nữa là;may mà
by hairbreads of	suýt nữa;chút xíu nữa;tý tẹo nữa;chút nữa là;may mà
a hairbreadth escape from	may không bị tóm;may mà thoát;tý nữa bị bắt 
by hairbreads of death	xuýt chết
comb one's hair for him	mắng mỏ sau lưng;xỉ vả sau lưng;chửi sau lưng 
stroke one's hair	mắng mỏ sau lưng;xỉ vả sau lưng;chửi sau lưng 
do one's hair	vấn tóc;làm đầu;chải tóc
a hair-do	sự chải tóc;sự làm đầu
get by the short hairs	khống chế;bắt phải chịu 
have by the short hairs	khống chế;bắt phải chịu 
hang by a hair	treo trên sợi tóc;ngàn cân treo sợi tóc 
have one's hair cut	đi cắt tóc;đi hớt tóc 
harm one's hair of one's head	làm hại;làm tổn thương
keep one's hair on	bình tĩnh;đừng nổi nóng 
lose one's hair on	nổi nóng;mất bình tĩnh;nổi cáu
male one's hair curl	làm sửng sốt;làm khiếp sợ
not to turn one's hair	không tỏ ra sợ hãi;không nao núng
hair space	khoảng cách rất hẹp 
slpit hairs	chẻ tóc làm tư;tranh cãi những chuyên không đâu với đâu
hair splitting	sự bắt bẻ tỉ mỉ;tranh cãi những chuyện không đâu với đâu
tear one's hair out	tỏ ra rất buồn;tỏ ra buồn rầu;tỏ ra chán nản;tỏ ra tức giận
half-awake	nửa thức nửa ngủ;nửa tỉnh nửa mơ 
half-boarder	học sinh bán trú 
half-blood	anh em cùng cha khác mẹ;anh em cùng mẹ khác cha
half-breed	con lai;người lai;vật lai;giống lai
half-dead	gần chết;hấp hối
half done	làm gở dang;nửa sống nửa chín;tái 
half-hearted	không thật tâm;không nhiệt tình 
half-length	bức ảnh nửa người
half-mast	vị trí treo cờ rũ 
half measures	biện pháp nửa vời
half moon	trăng khuyết
half-pay	chế độ nửa lương 
half-time	ăn lương nửa ngày 
half-way	nửa đường;nửa vời 
and a half	quan trọng;xuất sắc;quy mô
half-and-half	nửa nọ nửa kia;vừa có vừa không;chia đôi;chia làm đôi;chia sẻ với;chia ra hai phần
half as much again	nhiều gấp rưới;nhiều gấp đôi
half as many again	nhiều gấp rưới;nhiều gấp đôi
half-baked	nướng chưa chín hẳn;chưa chín hẳn;hơi sống;còn non nớt;chưa có kinh nghiệm;thiếu kinh nghiệm;khờ khạo;khờ dại;ngu ngốc
only half a man	yếu đuối;nhút nhát;nhát như cáy;như đàn bà 
half-cock	cò súng đã chốt;tình trạng chưa chuẩn bị đầy đủ;chưa suy nghĩ kỹ;không suy nghĩ kỹ;không cân nhắc kỹ;chưa chuẩn bị đầy đủ;sơ sài;chưa kỹ lưỡng 
half-cocked report	báo cáo sơ sài;báo cáo chưa chuẩn bị kỹ lưỡng
half crying half laughing	dở khóc, dở cười, vừa khóc vừa cười 
do nothing by halves	làm hoàn hảo;làm đến nơi đến chốn;làm xong xuôi 
half-seas-over	hơi chếnh choáng;hơi say 
half the battle	nửa công việc;nửa cuộc đấu tranh 
make painstaking preparations	chuẩn bị chu đáo;chuẩn bị kỹ lưỡng 
a good beginning is half the battle	bắt đầu tốt là xong một nửa công việc;đâu xuôi đuôi lọt 
hammer at	gắng sức;cố gắng;bền bỉ;kiên trì;quấy nhiễu;quầy rầy;đập mạnh vào;đấm mạnh vào 
hammer on	gắng sức;cố gắng;bền bỉ;kiên trì;quấy nhiễu;quầy rầy;đập mạnh vào;đấm mạnh vào 
hammer away at	tiếp tục;gắng sức;nã liên hồi;na liên tục
hammer down	đấm mạnh có rơi xuống;đập bung
hammer into	nhồi nhét;nhồi;nhét vào;nhồi vào
hammer into	đóng vào;đúc thành 
hammer on	buộc chặt;đóng chặt
hammer onto	buộc chặt;đóng chặt
hammer out	đập bẹp;đập mỏng;dát mỏng;nghĩ ra;tìm ra
hammer home	đóng ngập đinh;nhấn mạnh
hammer and tongs	dốc hết sức lực;với tất cả sức lực 
go at each other hammer and tongs	cãi nhau ầm ĩ;đánh nhau kịch liệt;cãi nhau om xòm 
between hammer and anvil	trên đe dưới búa 
bring to the hammer	đem bán đấu giá
come under the hammer	được bán đấu giá;đem đấu giá
go under the hammer	được bán đấu giá;đem đấu giá
up to the hammer	đặc sắc;xuất sắc
hand down to	để lại cho;truyền lại cho
hand on to	để lại cho;truyền lại cho
hand down to posterity	truyền lại cho đời sau;để lại cho đời sau
hand in	nộp;giao nộp
hand in an application	nộp đơn xin việc
hand in resignation	đệ đơn từ chức
hand in paper	nộp bài 
hand in one's check	chết
hand into	đưa tay đỡ
hand it to	khen ngợi;ca ngợi;ca tụng 
hand off	xô mạnh;đẩy mạnh;xô đẩy mạnh
hand on to	đưa tay cho;chuyền cho
hand out	lấy ra cho;lấy đưa cho;phân phát cho;chi tiêu;tiêu pha
hand over	bàn giao;chuyển giao;giao nộp 
hand round	chuyền tay 
hand up	trả lại;giao lại;nộp lại;giao nộp
at hands to the pump	mọi người phải góp sức vào
at hand	gần;sát cạnh;sắp xảy ra;sắp đến;sắp tới;trong tầm tay;có thể với tới được
big moment	giờ phút huy hoàng
at first hand	trực tiếp 
at second hand	gián tiếp
at one's hands	ở tay;từ tay;do từ;lại từ;lại là do
an old hand at	có tài năng đặc biệt về;lão luyện về 
a poor hand at	ít kinh nghiệm về;thiếu kinh nghiệm về
bear a hand	giúp một tay;giúp đỡ 
lend a hand	giúp một tay;giúp đỡ 
bear a hand	giúp một tay;giúp đỡ 
give a hand to	giúp một tay;giúp đỡ 
bind hand and foot	trói tay trói chân;tước mất quyền tự do 
tie hand and foot	trói tay trói chân;tước mất quyền tự do 
bite the hand that feeds one	ăn cháo đái bát 
have one's blood on one's hands	chịu trách nhiệm về cái chết của;có bàn tay vấy máu của;vấy đầy máu 
bring up by hand	nuôi nấng;nuôi bộ 
by hand	bằng tay;thủ công 
by one's own fair hand	tự mình làm ra;tự mình gây ra;tự bản thân mình
by my own fair and hand	do tự tay tôi làm ra;tự chính tôi gây nên 
go cap in hand	một cách hèn hạ;khúm núm;không biết xấu hổ 
change hands	thay thầy đổi chủ;sang tay người khác
chuck one's hand in	hạ vũ khí;đầu hàng;chịu thua;nhượng bộ 
a clean ahdn wants no washing	vô tội thì chẳng cần thanh minh
clean hands	trong trắng;trong sạch;vô tội;liêm khiết;thật thà;ngay thẳng 
come to hands	đến tay;đã nhận được
the dead hand of	ảnh hưởng nặng nề 
slow	kìm hãm
hands down	dễ dàng;không khó khăn gì
eat out of one's hand	dễ bảo;dễ phục tùng;quy phục được
fall into one's hands	rơi vào tay;bị chiếm giữ;bị chiếm đóng
fight for one's own hand	chiến đấu vì lợi ích bản thân;chiến đấu vì lợi ích cá nhân 
a firm hand	sự kỷ luật hoặc kiểm tra sắt sao;kỷ luật nghiêm khắc 
fold one's hands	chắp tay van xin;chụm tay van xin
from hand to hand	từ người này qua người khác
gain one's hand	làm cho hứa hẹn lấy 
win one's hand	làm cho hứa hẹn lấy 
gain the upper hand	thắng thế;chiếm ưu thế 
get the upper hand	thắng thế;chiếm ưu thế 
have the upper hand	thắng thế;chiếm ưu thế 
have the better hand	thắng thế;chiếm ưu thế 
get one's hand in	trở nên thành thạo;rất thành thạo
get one's eye in	trở nên thành thạo;rất thành thạo
get a free hand	được phép hành động;được tự do hành động
have a free hand	được phép hành động;được tự do hành động
get off one's hand	được phép hành động;được tự do hành động
get off one's hand	gặt bỏ;tống khứ;giũ trách nhiệm;phủi trách nhiệm;đùn đẩy trách nhiệm 
give a big hand	vỗ tay nhiệt liệt hoan nghênh;nhiệt liệt hoan nghênh
get a big hand	vỗ tay nhiệt liệt hoan nghênh;nhiệt liệt hoan nghênh
give one's hands on	nắm chặt lấy tay
give the glad hand to	tiếp đón niềm nở 
a good hand at	người tài giỏi;người tài năng;người có năng khiếu 
hang heavily one one's hands	kéo dài chậm chạp
have a hand at	khéo tay về
have a hand like a foot	lóng ngóng;hậu đậu
have an open hand	hào phóng;rộng rãi  
have a hand in	tham gia vào;chịu một phần trách nhiệm
take a hand in	tham gia vào;chịu một phần trách nhiệm
have a free hand	được tự do hành động
have one's hands full	quá bận rộn;rất bận rộn 
have one's hands tied	bị trói tay;bị ràng buộc;bị trói chặt;không được phép tự do hành động 
have time on one's hands	không có công việc gì làm;ăn không ngồi rồi;rông rỗi;nhàn rỗi;ngồi rồi
time to kill	không có công việc gì làm;ăn không ngồi rồi;rông rỗi;nhàn rỗi;ngồi rồi
a heavy hand	sự độc tài;sự chuyên chế;sự kiểm tra hà khắc;sự nghiệt ngã;thẳng tay
hold hands with	nắm tay nhau
hold one's hand	an ủi trong lúc khó khăn;giúp đỡ trong hoàn cảnh khó khăn
in hand	thuộc sở hữu của mình;có trong tay;còn trong tay;thuộc quyền kiển soát;nắm chắc;được quan tâm giải quyết
have the situation well in hand	nắm chắc tình hình trong tay 
hand in glove	liêm minh chặt chẽ;cấu kết chặt chẽ;công tác với
hand in hand	tay cầm tay;cùng nhau;sánh vai cùng
in one's hands	thuộc quyền sở hữu;thuộc thẩm quyền;thuộc quyền;thuộc trách nhiệm
an iron hand in a velvet gloves	bên ngoài thì hiền lành nhưng bên trong thì khắc nghiệt;bên ngoài thì hiền bên trong thì cương quyết 
an iron first in a velvet gloves	bên ngoài thì hiền lành nhưng bên trong thì khắc nghiệt;bên ngoài thì hiền bên trong thì cương quyết 
join hands	nắm tay nhau;hiệp lực cùng nhau;liên minh;hợp lực
know inside out	biết tường tận;biết rõ mười mươi;nắm rõ như lòng bàn tay 
know like the back of one's hand	biết tường tận;biết rõ mười mươi;nắm rõ như lòng bàn tay
keep a tight hand on	không chế;kiềm chế
lay one's hands on	tìm thấy;tìm được;tóm;bắt
never lift a hand to	không bao giờ giúp đỡ;không bao giờ sờ tay tới;không bao giờ mò tay tới;không bao giờ đụng tay vào 
never raise a hand to	không bao giờ giúp đỡ;không bao giờ sờ tay tới;không bao giờ mò tay tới;không bao giờ đụng tay vào 
never lift a finger to	không bao giờ giúp đỡ;không bao giờ sờ tay tới;không bao giờ mò tay tới;không bao giờ đụng tay vào 
never raise a finger to	không bao giờ giúp đỡ;không bao giờ sờ tay tới;không bao giờ mò tay tới;không bao giờ đụng tay vào 
lift a hand against	đe dọa;tấn công
lift a one's hand against	đe dọa;tấn công
raise a hand against	đe dọa;tấn công
raise one's hand against	đe dọa;tấn công
live from hand to mouth	sống lần hồi;kiếm ngày nào qua ngày nấy
make money hand over first	được lời lớn trong kinh doanh
many hands make light work	một cây làm chẳng nên noi, ba cây chụm lại nên hòn núi cao
not do a hand's turn	chẳng làm gì cả
hand off	không được đụng vào;không được can thiệp vao;cút đi;đừng có xen vào
off one's hand	hết trách nhiệm;không còn phải chịu trách nhiệm 
offer one's hand	đưa tay ra;giơ tay ra;chìa tay ra
on hand	sẵn có để dùng;có thể dùng được;có mặt;tham dự;tham gia 
on one's hands	trong tay;chịu trách nhiệm về;có trong tay
out of hand	không kiểm soát được;vượt ngoài tầm kiểm soát;vượt ngoài khả năng;vô kỷ luật;không nắm được;ngay lập tức;không chậm trễ
rejected out of hand	bị bác bỏ ngay lập tức 
out of one's hands	không nắm đươc nữa;không quản lý nữa;không thuộc trách nhiệm
hand over-hand	???
play into one's hands	làm lợi cho 
put one's hand in one pocket	sẵn sàng chi tiền;sẵn sàng cho tiền;sẵn sàng móc túi 
see one's hands in	nhận ra;phát hiện ảnh hưởng 
detect one's hands in	nhận ra;phát hiện ảnh hưởng 
set one's hand to	ký vào;ký kết 
shake one's hand	bắt tay;nắm tay
shake hands with	bắt tay;nắm tay
shake by the hand	bắt tay;nắm tay
show one's hand	để lộ;tiết lộ
show one's cards	để lộ;tiết lộ
a show of hands	giơ tay biểu quyết
sit on one's hands	vỗ tay lác đác;vỗ tay thưa thớt;chẳng làm được gì;ngồi không
stay one's hands	chặn tay;ngăn chặn 
take in hand	nhận làm;chịu trách nhiệm làm 
take one's courage in both hands	lấy hết can đảm
take in hand	uốn nắn
throw one's hand in	bỏ cuộc;từ bỏ 
take one's fate into one's hands	tự mình quyết định vận mệnh của mình;tự mình làm chủ bản thân;tự mình quyết định số phận của mình
to hand	trong tay;đã nhận được
hand to hand	sát nhau;giáp lá cà
fight hand to hand	đánh nhau giáp lá cà 
hand-to-mouth	lần hồi;ngày này qua ngày khác;giật gấu vá vai 
try one's hand at	thử tay nghề
turn one's hand to	có thể làm được;có khả năng làm được
hand up	giơ tay lên;giơ tay đầu hàng
wait on hand and foot	phục vụ từ đầu đến chân;phục vụ từ A-Z
wash one's hands of	phủ trách nhiệm về;không chịu trách nhiệm về 
win hands down	thắng đậm;thắng dễ dàng
handle with kid gloves	xử sự khéo léo;sử xụ tế nhị;đối xử nhẹ nhàng
handle without gloves	đối xử thẳng tay;đối xử thô bạo;tranh luận;tranh cãi
have a hand;e to one's name	có chức tước;có địa vị;có danh tiếng
fly off the handle	mất bình tĩnh;không tự chủ được;không kiềm chế được 
up to the handle	hoàn toàn;đầy đủ;hết sức
hang about	đi lang thang;rong chơi;là cà;quanh quẩn;sắp có
storm hanging about	sắp có bão
hang about	hay lui tới
hang back	do dự;lưỡng lự;ngập ngừng;chùn lại;lùi lại
hang behind	tụt lại đàng sau 
hang by a hair	rất nguy kịch;rất nguy nan;rất mỏng manh;treo trên sợi tóc 
hang down	rủ xuống;xõa xuống;thõng xuống;nghiêng;cúi xuống;gục xuống
hang fire	nổ súng chậm;bị hóc;bị nghẹn;bị tịt;hoãn lại;trì hoãn;dây dưa
trì hoãn
hang heavy	trôi đi chậm chạp;trôi qua chầm chậm;kéo dài lê thê;là gánh nặng cho
hang heavy on	trút lên đầu;đổ lên đầu 
hang in the balance	không ổn định;không chắc chăn;bấp bênh
hang off	do dự;lưỡng lự;lùi lại;chùn lại
hang on	bám lấy;giữ chặt lấy;kiên trì;giữ vững;giữ máy;dựa vào;phụ thuộc vào 
hang upon	bám lấy;giữ chặt lấy;kiên trì;giữ vững;giữ máy;dựa vào;phụ thuộc vào
hang on one's lips	lắng nghe từng lời từng chữ;chú ý lắng nghe;chăm chú lắng nghe
hang on one's words	lắng nghe từng lời từng chữ;chú ý lắng nghe;chăm chú lắng nghe
hang upon one's lips	lắng nghe từng lời từng chữ;chú ý lắng nghe;chăm chú lắng nghe
hang upon one's words	lắng nghe từng lời từng chữ;chú ý lắng nghe;chăm chú lắng nghe
hang on the line	treo ngang tầm mắt 
hang on the rear of the enemy	bám sát định
hang one's hat on	lệ thuộc vào;dựa dẫm vào;dựa vào;trong mong vào;hy vọng vào
hang one's head	gục đầu xuống;cảm thấy xấu hổ;cảm thấy nhục nhã 
hang oneself	treo cổ tự tử
hang out	trưng ra;treo ra;trèo ra ngoài;thò cổ ra ngoài;thè ra;sống ở;lang thang;rong chơi;lãng phí thì giờ 
hang over	treo lại;hoãn lại;bay lơ lửng;cheo leo;lơ lửng
hang together	đoàn kết chặt chẽ với nhau;gắn bó với nhau;ăn khớp với nhau
hang up	treo;móc;cúp máy;trì hoãn;hoãn lại
hang up one's fiddle	rút lui;ngừng;thôi;từ  bỏ;vứt bỏ
hang with	trang hoàng bằng;mọc nhiều;sai quả;trĩu quả 
get the hang of	mày mò;học cách sử dụng 
not to care a hang about	bất chấp;cóc cần
give a hang about	bất chấp;cóc cần;đếch cần
a hang-over	cảm giác khó chịu sau khi uống rượu;cái còn sót lại;cái còn tồn tại từ quá khứ 
accidents will happen	tai ương nghiệp chướng xảy ra;tai họa ập đến
happen along	bất ngờ xuất hiện;tình cờ đến;đến bất cờ
as it happens	ngẫu nhiên mà;tình cờ mà
as it happened	ngẫu nhiên mà;tình cờ mà
if naything should happen to me	nếu tôi có mệnh hệ gì;nếu tôi có mệnh hệ nào 
happen on	ngẫu nhiên thấy;tình cờ thấy;vô tình thấy
happen on	bỗng gặp;tình cờ thấy
happen to	xẩy đến;xảy ra;tình cờ;không may
happen what may	dù có gì xảy ra;dù thế nào đi nữa 
hard blow	đòn nặng nề;đòn trời giáng;đòn trừng phạt
deal a blow at	giáng một đòn chí tử;giáng một đòn chí mạng
hardcurrency	đồng tiền mạnh
hard drinker	người nghiện rượu mạnh
hard-handed	bàn tay chai sần;khắt khe;khắc nghiệt;khó tính 
hard-headed	có đầu óc cứng rắn;không đa sầu đa cảm;thiết thực;thực tế;bướng bỉnh;cứng đầu cứng cổ 
hard-hearted	nhẫn tâm;có lòng dạ sắt đá;không có tình cảm
hard fare	thức ăn tồi và thiếu
plentiful fare	thức ăn thừa thãi
hard labour	khổ sai;chung thân 
hard liquor	rượu mạnh;rượu có nồng độ cao 
hard look	cái nhìn nghiêm khắc;cái nhìn nghiêm nghị
hard winter	mùa đông khắc nghiệt 
hard won	thắng một cách khó khăn 
hard and fast	chặt chẽ;cứng rắn;bất di bất dịch
hard after	bám sát;theo sau
hard behind	bám sát;theo sau
hard upon	bám sát;theo sau
as hard as nails	rán rỏi;súng sức;được tập luyện kỹ;cứng rắn;tàn nhẫn
plenty of pluck	dũng cảm 
as hard as stone	rắn chắc;cứng như đá
hard at word on	bị cuốn hút vào
hard by		sát cạnh;gần bên cạnh;bên cạnh;kế bên 
hard-boiled	cứng rắn;sắt đá;không có tình cảm;nhẫn tâm 
hard for to	gay go cho;khó khăn cho
whether it's true or not	dù đúng hay không
hard going	khó thức hiện;khó tiến hành;khó tiến bộ;khó hiểu;khó chịu đựng 
hard lines	chuyện không may;vận rủi
hard luck	chuyện không may;vận rủi
a hard-luck story	chuyện không may
a hard nut to crack	một thằng cha khó chơi;một anh chàng khó chơi;một công việc hắc búa khó nhai 
a tough nut to crack	một thằng cha khó chơi;một anh chàng khó chơi;một công việc hắc búa khó nhai
hard of hearing	nặng tai;nghễnh ngãng
hard on	đối xử nghiêm khắc;phê bình nghiêm khắc;không công bằng đối với
hard on one's heels	theo sát
play hard to get	làm cao 
hard pressed	lâm vào cảnh nợ nần chồng chất;lâm vào đường cùng;lâm vào cảnh khó khăn
hard-pressed	bị theo dõi sát;rất bận rộn;bận rộn;bận bịu 
hard put to it to	cảm thấy khó khăn
a hard row to hoe	công việc khó khăn;công việc khó làm;công việc hóc búa
take a hard line on	giữ vững thái độ;đường lối kiên định;không thỏa hiệp 
take a hard line over	giữ vững thái độ;đường lối kiên định;không thỏa hiệp 
take hard	rất đau lòng
much like hard work	quá mệt nhọc;quá vất vả
hard to	khó khăn;gay go
hard up	cạn túi;hết tiền;sa sút;suy sụp;tuyệt vọng;vô phương cứu chữa 
hard up against it	lâm vào khó khăn;gặp phải khó khăn 
have it hard	lâm vào khó khăn;gặp phải khó khăn 
hard up for	bí bách;không đào đâu ra;không tìm đâu ra
hard upon	gần;sát;sấp sỉ;sắp đến;sắp tới 
hard words break no bones	lời nói không ăn thua gì với hành động
harden one's heart	làm chai điếng;trở nên nhẫn tâm;trở nên vô nhân tính;trở nên không có tình cảm 
